"DATA","VOTO","MATERIA"
"9/26/2020","10","MATEMATICA"
"11/3/2020","9.25","MATEMATICA"
"12/4/2020","7","MATEMATICA"
"1/13/2021","8.5","MATEMATICA"
"2/12/2021","9","MATEMATICA"
"2/24/2021","10","MATEMATICA"
"4/17/2021","9.5","MATEMATICA"
"4/21/2021","9.75","MATEMATICA"
"9/25/2020","8","FISICA"
"11/4/2020","7","FISICA"
"11/12/2020","9.25","FISICA"
"1/8/2021","6.75","FISICA"
"2/26/2021","8.5","FISICA"
"3/12/2021","7.75","FISICA"
"5/21/2021","10","FISICA"
"10/30/2020","6","ITALIANO"
"10/5/2020","6.5","ITALIANO"
"12/5/2020","9","ITALIANO"
"12/5/2020","7.75","ITALIANO"
"12/11/2020","7.5","ITALIANO"
"1/18/2021","6.5","ITALIANO"
"1/29/2021","8.25","ITALIANO"
"5/7/2021","6.75","ITALIANO"
"5/28/2021","8.25","ITALIANO"
"5/3/2021","6.5","ITALIANO"
"5/28/2021","8.5","ITALIANO"
"10/2/2020","7.25","LATINO"
"11/21/2020","7","LATINO"
"1/29/2021","7.5","LATINO"
"3/9/2021","8.5","LATINO"
"5/20/2021","7.5","LATINO"
"11/8/2020","8","STORIA"
"11/28/2020","9","STORIA"
"3/12/2021","8.5","STORIA"
"4/26/2021","8","STORIA"
"10/24/2020","8.5","FILOSOFIA"
"12/9/2020","8","FILOSOFIA"
"3/1/2021","8.5","FILOSOFIA"
"4/30/2021","8","FILOSOFIA"
"10/8/2020","8.5","INGLESE"
"11/2/2020","7.75","INGLESE"
"10/24/2020","10","INGLESE"
"11/21/2020","9","INGLESE"
"2/11/2021","7.75","INGLESE"
"2/9/2021","9.5","INGLESE"
"4/24/2021","8.5","INGLESE"
"9/30/2020","5","ARTE"
"9/30/2020","7.25","ARTE"
"9/30/2020","6.75","ARTE"
"10/7/2020","7.25","ARTE"
"11/18/2020","6.5","ARTE"
"1/28/2021","6.75","ARTE"
"3/18/2021","6.75","ARTE"
"4/28/2021","7.5","ARTE"
"5/24/2021","6.5","ARTE"
"9/24/2020","7.5","SCIENZE"
"10/15/2020","7.5","SCIENZE"
"12/14/2020","9.25","SCIENZE"
"1/16/2021","7.75","SCIENZE"
"2/25/2021","9.25","SCIENZE"
"4/10/2021","7.25","SCIENZE"
"5/24/2021","8.75","SCIENZE"
"10/8/2020","10","ED. FISICA"
"12/9/2020","7","ED. FISICA"
"2/11/2021","9","ED. FISICA"
"2/25/2021","9","ED. FISICA"
"4/12/2021","9","ED. FISICA"
"5/10/2021","6.5","ED. FISICA"
"5/20/2021","8","ED. FISICA"
"12/9/2020","7","RELIGIONE"
"5/4/2021","8","RELIGIONE"
"6/3/2021","8","RELIGIONE"
"11/12/2020","6.75","ED. CIVICA"
"11/25/2020","7.25","ED. CIVICA"
"12/4/2020","6.5","ED. CIVICA"
"3/2/2021","8","ED. CIVICA"
"4/7/2021","7.75","ED. CIVICA"
"4/12/2021","9","ED. CIVICA"
"6/3/2021","8","ED. CIVICA"
